Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-17 13:52:59.591343+1000 0x77       Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity) initUDIDEnforcement: /product node not found
2025-07-17 13:52:59.592825+1000 0x77       Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity) AMFI: queried model name from device tree: ACPI
2025-07-17 13:52:59.594406+1000 0x77       Default     0x0                  0      0    kernel: calling mpo_policy_init for AMFI
2025-07-17 13:52:59.595495+1000 0x77       Default     0x0                  0      0    kernel: Security policy loaded: Apple Mobile File Integrity (AMFI)
2025-07-17 13:52:59.597444+1000 0x77       Default     0x0                  0      0    kernel: calling mpo_policy_init for Sandbox
2025-07-17 13:52:59.598652+1000 0x77       Default     0x0                  0      0    kernel: (Sandbox) Applied builtin kext configuration.
2025-07-17 13:52:59.598674+1000 0x77       Default     0x0                  0      0    kernel: (Sandbox) disabling app bundle & container protections because amfi_get_out_of_my_way is set
2025-07-17 13:52:59.598704+1000 0x77       Default     0x0                  0      0    kernel: Security policy loaded: Seatbelt sandbox policy (Sandbox)
2025-07-17 13:52:59.610696+1000 0x77       Default     0x0                  0      0    kernel: calling mpo_policy_init for Quarantine
2025-07-17 13:52:59.611985+1000 0x77       Default     0x0                  0      0    kernel: Security policy loaded: Quarantine policy (Quarantine)
2025-07-17 13:52:59.615252+1000 0x77       Default     0x0                  0      0    688D294B-033F-3E32-B8A5-18F0780F0688: (missing UUID) <compose failure [missing precomposed log]>
2025-07-17 13:52:59.617493+1000 0x77       Default     0x0                  0      0    kernel: calling mpo_policy_init for RestrictEvents
2025-07-17 13:52:59.618909+1000 0x77       Default     0x0                  0      0    kernel: Security policy loaded: RestrictEvents Kernel Extension 1.1.6 (RestrictEvents)
2025-07-17 13:52:59.631893+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromBootArg: acm_fastsim = 0xffffffff <--- not found.
2025-07-17 13:52:59.634158+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromEDTProp: /defaults/insecure_hpr = 0x0 <--- not found.
2025-07-17 13:52:59.636554+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: isFastSimTarget: isFastSim = NO.
2025-07-17 13:52:59.637906+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: initU32FromEDTProp: /efi/platform/apple-coprocessor-version = 0x0 <--- not found.
2025-07-17 13:52:59.650876+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: getEOSDeviceType: eosDeviceType = 0.
2025-07-17 13:52:59.652357+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: init: inited KE[1] (ready=NO AVP=NO SIM=NO SIMT=NO USESEP=NO) -> true.
2025-07-17 13:52:59.655474+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: probe: probed KE[1] (ready=NO) -> true (score=0).
2025-07-17 13:52:59.657925+1000 0x77       Default     0x0                  0      0    kernel: AppleKeyStoreTest[0x100000125]::probe(IOResources)
2025-07-17 13:52:59.658050+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: start: starting KE[1] (ready=NO) -> true.
2025-07-17 13:52:59.670225+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: initImpl: called, KE[1].
2025-07-17 13:52:59.671844+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: initImpl: eosDeviceType=0, useOptionalSEP=NO.
2025-07-17 13:52:59.674144+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[6] len=1 <00>.
2025-07-17 13:52:59.675953+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: InitCredentialEngine: Global credential set created, CS[20].
2025-07-17 13:52:59.678121+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[5] len=1 <00>.
2025-07-17 13:52:59.689935+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[23] len=1 <01>.
2025-07-17 13:52:59.691776+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[24] len=22 <41707220323220323032352c2032303a30333a313400>.
2025-07-17 13:52:59.695021+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[25].
2025-07-17 13:52:59.696960+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[27].
2025-07-17 13:52:59.698898+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[36].
2025-07-17 13:52:59.710840+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[22].
2025-07-17 13:52:59.712779+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[29].
2025-07-17 13:52:59.714717+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[7] len=1 <00>.
2025-07-17 13:52:59.716526+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[26] len=1 <00>.
2025-07-17 13:52:59.718366+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[33] len=1 <01>.
2025-07-17 13:52:59.730210+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[34] len=1 <00>.
2025-07-17 13:52:59.732051+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[47].
2025-07-17 13:52:59.733991+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMFirstResponderKernelService: init: called, .
2025-07-17 13:52:59.735574+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM-S: init: called, starting PersistentStore service.
2025-07-17 13:52:59.755979+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM-A: init: called, starting TRM Analytics service.
2025-07-17 13:52:59.776289+1000 0x77       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM-C: init: called, starting AccessoryCache service.
2025-07-17 13:52:59.790079+1000 0x71       Default     0x0                  0      0    kernel: (IOPCIFamily) pci (build 19:43:08 Apr 22 2025), flags 0xc0080
2025-07-17 13:52:59.790081+1000 0x71       Default     0x0                  0      0    kernel: (IOPCIFamily) pci (build 19:43:08 Apr 22 2025), flags 0xc0080
2025-07-17 13:52:59.790634+1000 0x78       Default     0x0                  0      0    kernel: PMRD: power event 7 args 0xae5afbb5a31a9047 0x0
2025-07-17 13:52:59.790638+1000 0x78       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x302) tag 0x50064
2025-07-17 13:52:59.790642+1000 0x78       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
2025-07-17 13:52:59.801286+1000 0x7f       Default     0x0                  0      0    688D294B-033F-3E32-B8A5-18F0780F0688: (missing UUID) <compose failure [missing precomposed log]>
2025-07-17 13:52:59.801637+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=0 LocalApicId=0 Enabled
2025-07-17 13:52:59.801640+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=1 LocalApicId=1 Enabled
2025-07-17 13:52:59.801737+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(1) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801740+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=2 LocalApicId=8 Enabled
2025-07-17 13:52:59.801744+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(2) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801748+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=3 LocalApicId=9 Enabled
2025-07-17 13:52:59.801751+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(3) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801754+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=4 LocalApicId=16 Enabled
2025-07-17 13:52:59.801757+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(4) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801758+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=5 LocalApicId=17 Enabled
2025-07-17 13:52:59.801762+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(5) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801768+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=6 LocalApicId=24 Enabled
2025-07-17 13:52:59.801772+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(6) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801774+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=7 LocalApicId=25 Enabled
2025-07-17 13:52:59.801778+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(7) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801781+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=8 LocalApicId=32 Enabled
2025-07-17 13:52:59.801784+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(8) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801786+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=9 LocalApicId=33 Enabled
2025-07-17 13:52:59.801789+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(9) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801791+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=10 LocalApicId=40 Enabled
2025-07-17 13:52:59.801795+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(10) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
2025-07-17 13:52:59.801799+1000 0x7f       Default     0x0                  0      0    kernel: (AppleACPIPlatform) AppleACPICPU: ProcessorId=11 LocalApicId=41 Enabled
2025-07-17 13:52:59.801803+1000 0x7f       Default     0x0                  0      0    kernel: cpu_data_alloc(11) <private> desc_table: <private> ldt: <private> int_stack: 0x<private>-0x<private>
